gender,SeniorCitizen,Partner,Dependents,PhoneService,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalCharges_boxcox,tenure_cbrt,TotalServices,HasPremiumSupport,AvgMonthlySpend,Churn
0,0,1,0,0,1,-1.1603229,0,0,0,0,0,1,0,-1.8111036,-1.8123131,1,0,0.1689098,0
1,0,0,0,1,0,-0.25962895,0,0,1,0,0,0,1,0.25427708,0.3560352,2,0,0.2770264,0
1,0,0,0,1,1,-0.36266035,0,0,0,0,0,0,1,-1.38709,-1.5606626,2,0,0.26780805,1
1,0,0,0,0,0,-0.7465355,0,0,1,0,0,0,0,0.23322102,0.66322094,3,1,0.20334078,0
0,0,0,0,1,1,0.19736524,1,0,0,0,0,1,0,-1.2497697,-1.5606626,0,0,0.25468194,1
0,0,0,0,1,1,1.1595457,1,0,0,0,0,1,0,-0.35320893,-0.8441327,3,0,-0.74671525,1
1,0,0,1,1,1,0.80890656,1,0,0,0,1,0,0,0.27960128,-0.067613915,2,0,0.3227021,0
0,0,0,0,0,0,-1.1636465,0,0,0,0,0,0,1,-0.93014646,-0.6946121,1,0,-0.91072494,0
0,0,1,0,1,1,1.3307108,1,0,0,0,0,1,0,0.6646138,0.15947245,4,1,0.93992764,1
1,0,0,1,1,0,-0.2862177,0,0,1,0,0,0,0,0.7903725,1.0514597,2,0,0.556874,0
1,0,1,1,1,1,-0.4922805,0,0,0,0,0,0,1,-0.5625963,-0.50397736,1,0,-0.49343508,0
1,0,0,0,1,0,-1.5225947,0,1,0,1,1,0,0,-0.8895972,-0.34083176,0,0,-0.61346793,0
1,0,1,0,1,0,1.1828109,1,0,1,0,1,0,0,1.2808164,0.96721345,3,0,1.3647294,0
1,0,0,0,1,1,1.2941513,1,0,0,0,0,0,0,1.1539925,0.76237464,4,0,1.5042768,1
1,0,0,0,1,1,1.3539759,1,0,0,0,0,1,0,0.551665,0.05048319,5,1,0.7360467,0
0,0,1,1,1,0,1.6115545,1,0,0,1,1,0,0,1.6477039,1.1905624,6,1,1.5609158,0
0,0,0,0,1,0,-1.4660935,0,1,1,0,0,0,1,-0.20491853,0.8332507,0,0,-0.11737891,0
1,0,0,1,1,0,1.393859,1,0,0,1,0,0,0,1.5703126,1.2285651,4,0,1.3341515,0
0,0,1,1,1,0,-0.31779185,0,0,0,0,1,0,0,-0.62540257,-0.6946121,2,1,-0.69932675,1
0,0,0,0,1,1,0.8404807,1,0,0,0,0,1,0,0.24283896,-0.10935716,3,0,0.27522323,0
1,1,0,0,0,1,-0.8346107,0,0,0,0,0,1,0,-1.7297677,-1.8123131,2,0,0.16611283,1
1,0,1,0,1,0,-1.4943441,0,1,1,0,0,0,0,-1.1229578,-0.5639137,0,0,-0.82210726,0
1,0,0,0,1,0,-1.4827116,0,1,0,0,0,0,1,-1.9135712,-1.8123131,0,0,0.17212456,1
0,0,1,0,1,1,-0.16158292,0,0,0,1,1,0,0,0.79500747,0.96721345,2,0,0.6375674,0
1,0,1,1,1,0,-0.1715537,0,0,0,0,1,0,0,0.64170915,0.76237464,3,0,0.62346524,0
0,0,0,0,1,1,-0.31446823,0,0,0,0,0,0,0,0.08850133,0.22786814,2,0,0.09145365,0
1,0,1,1,1,1,1.1495749,1,0,0,0,0,1,0,1.0935832,0.7135012,3,0,1.4560623,1
1,0,1,1,0,0,-1.1486903,0,0,0,0,0,1,0,-1.8078878,-1.8123131,1,0,0.16880348,1
1,0,1,0,1,1,0.84712785,0,0,0,1,1,0,0,1.4048556,1.2472993,6,1,1.0457221,0
0,0,0,1,1,1,-0.002050407,0,0,0,0,0,0,1,-0.15866639,-0.29102904,2,0,-0.15042698,1
0,1,1,0,1,1,1.0498672,1,0,0,1,1,0,0,1.471984,1.2285651,4,1,1.1764003,0
1,1,1,0,1,1,1.0216166,1,0,0,0,1,0,0,-1.1713743,-1.5606626,3,0,0.24633928,0
0,0,1,1,1,0,0.046141706,0,0,1,0,0,0,1,0.24782038,0.124047734,4,1,0.28069398,0
1,0,0,0,1,0,-1.4810498,0,1,0,0,0,0,0,-1.9129603,-1.8123131,0,0,0.17210636,0
1,1,0,0,1,0,-0.6484894,0,0,0,0,0,0,0,-1.6897153,-1.8123131,0,0,0.16464964,0
0,0,1,1,1,0,1.1678547,1,0,0,1,0,0,0,1.5499759,1.2472993,4,0,1.2621546,0
1,0,0,0,1,1,0.16412929,1,0,0,0,0,1,0,-0.9054343,-1.1249284,0,0,1.4062688,1
0,0,0,0,1,1,0.3336326,1,0,0,0,1,0,0,0.8066082,0.68854326,1,0,0.93506163,0
1,0,0,0,1,1,1.3822265,1,0,0,0,0,1,0,0.8068621,0.3560352,4,0,1.1872817,1
0,0,0,0,1,1,1.099721,1,0,0,0,0,0,0,-0.1507863,-0.6272796,3,0,-0.1858372,1
1,0,1,1,1,0,-0.5055749,0,0,1,0,0,0,1,-0.6859293,-0.6946121,1,0,-0.7465909,0
0,0,1,1,1,1,0.14751132,0,0,0,1,1,0,0,1.1198263,1.2096542,3,0,0.7452311,0
0,0,1,1,1,0,-1.46277,0,1,1,0,0,0,1,-0.75796276,-0.29102904,0,0,-0.5448091,0
0,0,0,0,1,1,0.5014741,0,0,0,1,1,0,0,1.1175246,1.0719517,5,1,0.92181855,0
0,0,1,0,1,1,0.3801629,0,0,0,0,0,1,0,-0.23340516,-0.50397736,4,0,-0.23872583,0
0,0,0,0,1,1,0.6560212,1,0,0,0,0,1,0,0.89900166,0.76237464,1,0,1.0097326,0
1,0,0,0,1,0,-0.51554567,0,0,0,0,0,0,1,-1.4287813,-1.5606626,1,0,0.27144942,0
0,0,0,0,1,1,0.5280628,1,0,0,0,0,1,0,-1.271148,-1.5606626,1,0,0.25684574,1
1,0,0,0,1,1,0.4981505,0,0,0,1,1,0,0,0.9742033,0.8332507,4,0,1.0446771,0
0,0,1,1,1,1,-0.020330174,0,0,0,1,1,0,0,0.9827055,1.1905624,3,1,0.62200713,0
0,1,0,0,1,1,0.84712785,1,0,0,0,0,1,0,0.88198525,0.6114279,2,0,1.1522995,0
0,0,0,0,1,1,1.141266,1,0,0,0,1,0,0,0.034968905,-0.3927553,4,0,0.037882634,1
0,1,1,0,1,1,0.1574821,0,0,0,0,1,0,0,0.19408953,0.05048319,3,0,0.21417743,0
0,1,1,0,1,1,0.5280628,1,0,0,0,1,0,0,-0.5170412,-0.8441327,1,0,-1.0130816,1
0,1,1,1,1,1,0.3352944,0,0,1,0,1,0,0,1.0291102,1.0098047,5,1,0.88612664,0
1,1,0,0,1,1,1.0199548,1,0,0,0,0,1,0,0.19404429,-0.24314304,2,0,0.21727319,1
0,0,1,1,1,1,1.1595457,1,0,1,0,1,0,0,1.394758,1.0719517,3,0,1.3594649,0
1,1,1,1,1,1,1.452022,1,0,1,0,0,1,0,1.5222257,1.1321559,5,1,1.4615107,0
0,0,1,1,1,0,-1.323179,0,1,0,1,1,0,0,-0.29628357,0.3560352,0,0,-0.24535045,0
0,0,0,0,1,1,1.4204478,1,0,0,1,1,0,0,1.6415912,1.2472993,4,1,1.4158778,0
0,0,1,0,1,1,1.1877962,1,0,0,0,0,1,0,1.0845098,0.7135012,3,0,1.436285,0
1,0,0,0,1,1,0.8354953,1,0,0,0,0,0,0,1.2367951,1.0098047,2,0,1.2043908,0
1,0,1,0,0,0,-0.75318265,0,0,0,1,0,0,0,0.6391731,1.2472993,3,0,0.30434126,0
0,0,1,1,1,1,-0.3443806,0,0,1,0,1,0,0,-0.25054008,-0.24314304,2,1,-0.2248518,0
0,0,0,0,1,0,0.985057,1,0,0,0,0,1,0,-0.3244052,-0.7665971,2,0,-0.50417876,1
0,0,0,0,1,1,0.35025057,0,0,0,0,0,1,0,-1.0349013,-1.3841357,4,0,0.39033166,0
1,0,1,0,1,1,0.46989995,1,0,1,0,0,1,0,0.83359957,0.7135012,1,0,0.95478135,0
0,0,0,0,1,0,0.47987074,0,0,0,1,0,0,1,0.48783007,0.2609297,5,1,0.61780274,0
0,0,1,1,1,0,-1.4827116,0,1,0,1,0,0,0,-0.26934376,0.78631365,0,0,-0.15887785,0
1,0,0,0,1,1,0.5014741,1,0,0,0,0,0,1,-0.30149168,-0.6946121,2,0,-0.39149028,0
1,0,0,0,1,0,-0.5221929,0,0,0,0,0,0,1,-1.6645564,-1.8123131,1,0,0.1637001,0
0,0,1,1,1,1,-1.4744025,0,1,1,0,0,1,0,-0.16024388,0.8332507,0,0,-0.09379857,0
1,1,1,1,1,1,1.5567151,1,0,0,1,0,0,0,1.525839,1.0922282,5,1,1.5627532,0
1,0,1,1,1,1,-1.3464441,0,1,0,1,0,0,0,0.034018893,1.0514597,0,0,0.01600222,0
0,0,0,1,1,1,-0.0086975945,0,0,0,0,0,0,0,-1.1818657,-1.3841357,3,0,0.41972768,0
0,1,0,0,1,0,1.5201557,1,0,1,0,0,1,0,1.3645831,0.9236315,5,0,1.6298546,0
0,0,0,0,1,0,-0.30283567,0,0,1,0,1,0,0,0.5525859,0.68854326,1,0,0.5561842,0
0,0,1,1,1,0,-0.3360716,0,0,0,0,0,0,1,-0.6781357,-0.8441327,2,0,-1.2357132,0
1,1,0,0,1,1,0.33197078,0,0,0,0,0,1,0,0.34525913,0.22786814,4,0,0.40753403,0
